time,packet_type,source,current_node,next_hop,dest,hop_count,routing_direction
731.0151891464317,SENSOR_DATA,"[20,4]",95,"[20,1]","[28,1]",,MESH
731.0152047638525,SENSOR_DATA,"[20,3]",86,"[18,3]","[18,3]",,DIRECT
731.0152718071319,SENSOR_DATA,"[20,4]",86,"[28,1]","[28,1]",,DIRECT
732.040895678074,SENSOR_DATA,"[0,1]",16,"[0,7]","[0,2]",,MESH
732.04099296019,SENSOR_DATA,"[0,1]",7,"[0,254]","[0,2]",,TREE
732.0410715282372,SENSOR_DATA,"[0,1]",17,"[0,2]","[0,2]",,DIRECT
732.5271510545065,SENSOR_DATA,"[0,6]",28,"[0,254]","[0,2]",,TREE
732.5272126363438,SENSOR_DATA,"[0,6]",17,"[0,2]","[0,2]",,DIRECT
733.2347196428613,SENSOR_DATA,"[0,2]",8,"[0,4]","[0,1]",,MESH
733.2347706638632,SENSOR_DATA,"[0,2]",18,"[0,7]","[0,1]",,MESH
733.2348890686611,SENSOR_DATA,"[0,2]",7,"[0,1]","[0,1]",,DIRECT
737.1848148759506,SENSOR_DATA,"[5,1]",38,"[3,2]","[0,1]",,MESH
738.4157757857324,SENSOR_DATA,"[0,5]",27,"[0,254]","[0,4]",,TREE
738.4158207969309,SENSOR_DATA,"[0,5]",17,"[0,4]","[0,4]",,DIRECT
739.6268968568822,SENSOR_DATA,"[14,1]",36,"[8,3]","[8,3]",,DIRECT
739.6269462695305,SENSOR_DATA,"[15,1]",56,"[8,2]","[10,3]",,MESH
739.6270052191752,SENSOR_DATA,"[15,1]",45,"[8,254]","[10,3]",,TREE
739.6270804239844,SENSOR_DATA,"[15,1]",35,"[8,2]","[10,3]",,MESH
739.6271556287935,SENSOR_DATA,"[15,1]",45,"[8,254]","[10,3]",,TREE
739.6272308336027,SENSOR_DATA,"[15,1]",35,"[8,2]","[10,3]",,MESH
739.6273060384118,SENSOR_DATA,"[15,1]",45,"[8,254]","[10,3]",,TREE
739.627381243221,SENSOR_DATA,"[15,1]",35,"[8,2]","[10,3]",,MESH
739.6274564480301,SENSOR_DATA,"[15,1]",45,"[8,254]","[10,3]",,TREE
740.0000498529093,SENSOR_DATA,"[19,1]",64,"[19,3]","[32,2]",,MESH
740.0001300878816,SENSOR_DATA,"[19,1]",53,"[19,5]","[32,2]",,MESH
740.0002190274004,SENSOR_DATA,"[19,1]",42,"[32,2]","[32,2]",,DIRECT
740.0002961315809,SENSOR_DATA,"[43,1]",37,"[3,4]","[3,4]",,DIRECT
741.0115611158104,SENSOR_DATA,"[25,1]",43,"[25,254]","[19,2]",,TREE
741.0115916388014,SENSOR_DATA,"[5,2]",48,"[5,254]","[0,4]",,TREE
741.0116387719664,SENSOR_DATA,"[25,1]",34,"[8,3]","[19,2]",,MESH
741.0116846133218,SENSOR_DATA,"[5,2]",38,"[0,4]","[0,4]",,DIRECT
741.0117058490819,SENSOR_DATA,"[25,1]",44,"[12,1]","[19,2]",,TREE
741.0117103140079,SENSOR_DATA,"[26,3]",32,"[19,5]","[19,3]",,MESH
741.0117513083056,SENSOR_DATA,"[26,3]",42,"[19,3]","[19,3]",,DIRECT
741.0126551900265,SENSOR_DATA,"[11,2]",75,"[11,254]","[19,5]",,TREE
741.0127451608627,SENSOR_DATA,"[11,2]",65,"[12,1]","[19,5]",,MESH
741.0127792862953,SENSOR_DATA,"[19,2]",63,"[19,254]","[1,3]",,TREE
741.0127880030348,SENSOR_DATA,"[19,3]",53,"[19,4]","[30,1]",,MESH
741.012809342009,SENSOR_DATA,"[11,2]",54,"[19,3]","[19,5]",,MESH
741.0128240037203,SENSOR_DATA,"[19,2]",53,"[8,3]","[1,3]",,MESH
741.0128417583396,SENSOR_DATA,"[19,3]",62,"[30,1]","[30,1]",,DIRECT
741.0128535314889,SENSOR_DATA,"[19,2]",54,"[8,2]","[1,3]",,MESH
