time,node_id,old_role,new_role
201.0127682036573,77,UNDISCOVERED,UNREGISTERED
201.01277141662405,99,UNDISCOVERED,UNREGISTERED
201.0127731169703,98,UNDISCOVERED,UNREGISTERED
201.0127756915685,87,UNDISCOVERED,UNREGISTERED
201.01288861822422,97,UNDISCOVERED,UNREGISTERED
203.31334586601045,39,REGISTERED,CLUSTER_HEAD
207.00255274270273,13,UNREGISTERED,REGISTERED
219.6269181674773,27,REGISTERED,CLUSTER_HEAD
219.62698958238983,55,UNREGISTERED,REGISTERED
219.62734071030187,47,REGISTERED,CLUSTER_HEAD
221.0120379549642,54,UNREGISTERED,REGISTERED
221.01211220015776,63,UNDISCOVERED,UNREGISTERED
221.01212091689723,53,UNDISCOVERED,UNREGISTERED
221.01221538208674,55,REGISTERED,CLUSTER_HEAD
221.01230413471603,44,CLUSTER_HEAD,ROUTER
221.01377558183617,78,REGISTERED,CLUSTER_HEAD
221.01383825432976,88,UNREGISTERED,REGISTERED
221.01386388934552,77,UNREGISTERED,REGISTERED
221.01386772033166,89,UNREGISTERED,REGISTERED
221.01394390601817,86,UNDISCOVERED,UNREGISTERED
223.3128708698311,49,UNREGISTERED,REGISTERED
223.3130037268038,49,REGISTERED,CLUSTER_HEAD
223.31307015529015,39,CLUSTER_HEAD,ROUTER
239.62689685688224,36,UNREGISTERED,REGISTERED
239.62694626953063,56,UNREGISTERED,REGISTERED
239.62703428048644,36,REGISTERED,CLUSTER_HEAD
239.62710175885454,56,REGISTERED,CLUSTER_HEAD
239.62710299228854,27,CLUSTER_HEAD,ROUTER
239.6271795035165,47,CLUSTER_HEAD,ROUTER
241.0126551900266,75,UNREGISTERED,REGISTERED
241.0127050411018,54,REGISTERED,CLUSTER_HEAD
241.01270889539578,85,UNDISCOVERED,UNREGISTERED
241.01272996755654,64,UNREGISTERED,REGISTERED
241.01274744606548,74,UNDISCOVERED,UNREGISTERED
241.01277928629537,63,UNREGISTERED,REGISTERED
241.01278800303484,53,UNREGISTERED,REGISTERED
241.0128140840991,73,UNDISCOVERED,UNREGISTERED
241.0128256978995,52,UNDISCOVERED,UNREGISTERED
241.01283405462442,62,UNDISCOVERED,UNREGISTERED
241.01287694255353,42,UNDISCOVERED,UNREGISTERED
241.01287830444411,61,UNDISCOVERED,UNREGISTERED
241.0129539269009,53,REGISTERED,CLUSTER_HEAD
261.0117340631388,58,UNREGISTERED,REGISTERED
261.0117557136578,66,UNREGISTERED,REGISTERED
261.01294156523403,62,UNREGISTERED,REGISTERED
261.01302557259396,51,UNDISCOVERED,UNREGISTERED
261.013027620687,71,UNDISCOVERED,UNREGISTERED
261.0130290744262,72,UNDISCOVERED,UNREGISTERED
261.01305482159086,42,UNREGISTERED,REGISTERED
261.01306140765104,61,UNREGISTERED,REGISTERED
261.013111521036,41,UNDISCOVERED,UNREGISTERED
261.0131239818419,31,UNDISCOVERED,UNREGISTERED
261.01313912076847,60,UNDISCOVERED,UNREGISTERED
261.0131485121702,50,UNDISCOVERED,UNREGISTERED
261.01316272459354,70,UNDISCOVERED,UNREGISTERED
261.01318149294167,40,UNDISCOVERED,UNREGISTERED
261.0131923622766,80,UNDISCOVERED,UNREGISTERED
261.0131969397411,82,UNDISCOVERED,UNREGISTERED
261.01355604056135,64,REGISTERED,CLUSTER_HEAD
261.01490752682116,75,REGISTERED,CLUSTER_HEAD
261.01496123219033,85,UNREGISTERED,REGISTERED
261.01497461285084,86,UNREGISTERED,REGISTERED
261.0150238250314,95,UNDISCOVERED,UNREGISTERED
261.01503215060126,96,UNDISCOVERED,UNREGISTERED
261.0150422351053,94,UNDISCOVERED,UNREGISTERED
261.0150489829237,84,UNDISCOVERED,UNREGISTERED
261.0151087849102,86,REGISTERED,CLUSTER_HEAD
261.01517587093986,75,CLUSTER_HEAD,ROUTER
268.8087254303595,34,UNREGISTERED,REGISTERED
281.0117737291005,59,UNREGISTERED,REGISTERED
