node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
41,60,112.180627,ROUTER,3,181.28645478995745
41,62,117.556111,UNREGISTERED,5,226.9780810300888
41,80,98.912424,CLUSTER_HEAD,5,199.8826549322947
41,70,74.542477,REGISTERED,5,199.88262498159742
41,72,134.433205,ROUTER,4,246.97831599046603
41,81,118.429064,UNREGISTERED,5,209.88270425201517
41,35,96.331145,CLUSTER_HEAD,3,214.4275798175536
41,2,73.335504,UNREGISTERED,5,202.8972903113712
41,3,72.175509,UNREGISTERED,5,277.41788893817045
41,1,82.512049,CLUSTER_HEAD,5,300.3139455807962
41,74,126.641557,REGISTERED,6,360.1002576513588
42,51,83.621669,REGISTERED,3,383.772888101588
42,53,96.009020,CLUSTER_HEAD,2,372.32993675813253
42,43,74.537609,CLUSTER_HEAD,2,385.10047464720003
42,52,86.740894,REGISTERED,2,396.9769948687704
42,72,115.035684,ROUTER,4,366.9782965929458
42,74,126.641557,REGISTERED,6,360.1002576513588
42,61,56.450339,CLUSTER_HEAD,3,350.10010728768583
42,50,68.100091,CLUSTER_HEAD,2,327.9098264685117
42,60,99.561276,ROUTER,3,347.90969717069277
42,33,78.116668,CLUSTER_HEAD,2,179.1151631873137
42,44,110.499123,ROUTER,3,162.32985261676598
42,23,120.684786,UNREGISTERED,3,385.1002898911623
42,62,117.556111,UNREGISTERED,5,226.9780810300888
42,80,98.912424,CLUSTER_HEAD,5,199.8826549322947
42,70,74.542477,REGISTERED,5,199.88262498159742
42,81,118.429064,UNREGISTERED,5,209.88270425201517
46,45,70.880739,UNREGISTERED,4,394.4279403747456
46,36,84.176285,UNREGISTERED,4,395.1002820336941
47,36,107.106259,REGISTERED,4,109.11589520825464
47,37,70.538472,REGISTERED,5,319.11593695702896
47,46,59.097747,REGISTERED,5,219.1159313760271
47,56,89.941194,REGISTERED,6,318.7443874870268
47,45,121.124148,UNREGISTERED,4,314.4276621521357
47,27,107.577875,UNREGISTERED,5,277.8807975247024
47,38,74.402555,REGISTERED,6,280.96409039936657
48,46,95.444151,REGISTERED,5,219.1159677224315
48,37,79.815163,REGISTERED,5,319.11594623371985
48,27,114.954456,UNREGISTERED,5,277.8808049012834
48,38,68.467897,REGISTERED,6,280.96408446470844
49,38,98.287870,REGISTERED,6,280.9641142846817
55,74,120.120334,REGISTERED,6,360.1002511301361
55,64,64.601066,REGISTERED,7,395.1003659724527
55,65,64.378106,UNREGISTERED,7,375.10024065050436
55,76,121.176890,UNREGISTERED,7,375.10038319649453
55,63,111.995987,REGISTERED,6,380.1003461688109
55,45,91.536518,UNREGISTERED,4,394.42796103052444
56,65,89.707800,UNREGISTERED,7,375.10026598019914
56,76,125.725234,UNREGISTERED,7,375.1003877448379
56,45,84.436219,UNREGISTERED,4,394.42795393022567
57,46,80.187428,REGISTERED,5,219.11595246570803
57,65,137.093339,REGISTERED,5,199.11617843648207
57,56,82.922130,REGISTERED,6,318.74438046796286
57,76,132.575499,UNREGISTERED,7,375.1003945951037
57,77,112.049303,REGISTERED,7,299.1163915371097
58,77,98.681766,REGISTERED,7,299.1163781695728
65,63,116.206214,REGISTERED,6,380.1003503790383
65,64,61.176316,REGISTERED,7,395.10036254770296
66,74,122.961945,REGISTERED,6,360.1002539717472
66,65,36.499864,UNREGISTERED,7,375.1002127722623
66,76,44.767186,UNREGISTERED,7,375.1003067867903
66,64,96.250986,REGISTERED,7,395.1003976223726
67,66,78.795808,CLUSTER_HEAD,6,309.1165248258028
67,65,114.290712,REGISTERED,5,199.11615563385573
67,76,91.580312,UNREGISTERED,7,375.10035359991605
67,56,96.422286,REGISTERED,6,318.74439396811863
67,86,120.920040,UNREGISTERED,7,279.60006520728916
67,77,65.153003,REGISTERED,7,299.1163446408095
67,87,139.812881,ROUTER,8,349.11746530267214
68,76,125.530498,UNREGISTERED,7,375.1003875501027
68,86,131.532592,UNREGISTERED,7,279.60007581984115
68,77,62.451865,REGISTERED,7,299.11634193967205
68,87,121.493422,ROUTER,8,349.11744698321354
69,77,115.784489,REGISTERED,7,299.1163952722958
74,73,55.338173,CLUSTER_HEAD,5,369.11712909270943
74,84,61.944599,REGISTERED,6,360.10018910511656
74,72,115.367216,ROUTER,4,366.9782969244774
74,82,137.656602,ROUTER,6,376.97759198571265
74,83,85.560545,REGISTERED,6,369.11730468405943
74,61,92.809822,CLUSTER_HEAD,3,350.10014364716926
74,63,95.275926,REGISTERED,5,330.6809732724775
74,52,98.971795,CLUSTER_HEAD,4,306.97727631349954
74,60,134.433205,ROUTER,3,347.9097320426217
74,71,45.894762,CLUSTER_HEAD,4,276.9774175226695
74,54,98.565457,CLUSTER_HEAD,4,199.11603122635705
74,64,58.007032,UNREGISTERED,7,370.1010978800621
74,75,63.242514,REGISTERED,7,375.10019831989797
74,65,88.136199,UNREGISTERED,7,375.10026440859804
74,94,129.672381,ROUTER,7,199.11908771420903
74,81,83.061464,REGISTERED,5,309.88266888441575
74,62,58.396283,CLUSTER_HEAD,5,326.97802187026036
74,50,52.398098,CLUSTER_HEAD,2,227.909810766519
74,80,98.912424,CLUSTER_HEAD,5,199.8826549322947
74,51,99.561276,UNREGISTERED,3,183.77290404119503
74,70,74.542477,REGISTERED,5,199.88262498159742
74,91,89.434546,CLUSTER_HEAD,5,199.88265800940434
74,92,39.641387,REGISTERED,6,199.88264206196985
74,93,98.620036,UNREGISTERED,7,209.11853821685216
74,76,131.009802,UNREGISTERED,7,375.10039302940663
74,90,76.611773,REGISTERED,6,296.97774239169155
74,86,132.221082,UNREGISTERED,7,279.6000765083308
74,85,65.062212,UNREGISTERED,7,289.1158673225192
74,95,77.978197,REGISTERED,8,199.11895261058368
75,63,111.850434,REGISTERED,6,380.10034602325834
75,94,136.859419,UNREGISTERED,7,380.10039620418087
75,84,75.037207,REGISTERED,6,395.1003800417244
75,64,68.597404,REGISTERED,7,395.1003699687903
77,76,67.508227,UNREGISTERED,7,375.1003295278309
78,87,73.961625,ROUTER,8,349.11739945141676
78,76,125.458102,UNREGISTERED,7,375.100387477706
78,86,108.164412,UNREGISTERED,7,279.6000524516609
78,77,62.250071,REGISTERED,7,299.11634173787735
79,77,124.763805,REGISTERED,7,299.1164042516113
79,87,131.392422,ROUTER,8,349.11745688221345
84,94,69.189822,REGISTERED,7,400.1002062181477
85,84,65.062212,REGISTERED,6,395.10037006672985
85,83,118.224657,REGISTERED,6,369.11733734817204
85,76,82.468611,UNREGISTERED,7,375.100344488215
85,94,88.871684,UNREGISTERED,7,380.10034821644615
86,76,47.257293,UNREGISTERED,7,375.1003092768976
87,76,97.183369,UNREGISTERED,7,375.10035920297355
88,87,52.943531,ROUTER,8,349.1173784333224
88,76,122.564037,UNREGISTERED,7,375.1003845836417
88,86,96.402553,CLUSTER_HEAD,7,284.1168364145459
88,77,68.291785,REGISTERED,7,299.1163477795917
88,98,85.089255,REGISTERED,9,299.11730902615017
89,98,89.172477,REGISTERED,9,299.11731310937205
