time,packet_type,source,current_node,next_hop,dest,hop_count,routing_direction
717.9181457989012,SENSOR_DATA,"[43,2]",65,"[18,3]","[34,3]",,TREE
717.9181651808234,SENSOR_DATA,"[33,2]",43,"[20,4]","[37,2]",,MESH
717.9182452930985,SENSOR_DATA,"[43,2]",74,"[30,4]","[34,3]",,TREE
717.9182888379175,SENSOR_DATA,"[33,2]",23,"[37,2]","[37,2]",,DIRECT
717.9183438373367,SENSOR_DATA,"[43,2]",63,"[33,1]","[34,3]",,TREE
717.918431920789,SENSOR_DATA,"[43,2]",52,"[11,2]","[34,3]",,MESH
717.9185118349037,SENSOR_DATA,"[43,2]",43,"[11,254]","[34,3]",,TREE
717.9185505304872,SENSOR_DATA,"[43,2]",44,"[6,2]","[34,3]",,TREE
717.9186388408743,SENSOR_DATA,"[43,2]",35,"[6,254]","[34,3]",,TREE
717.9187101171807,SENSOR_DATA,"[43,2]",46,"[6,5]","[34,3]",,TREE
717.9187857500776,SENSOR_DATA,"[43,2]",56,"[18,1]","[34,3]",,TREE
717.918846560634,SENSOR_DATA,"[43,2]",65,"[18,3]","[34,3]",,TREE
717.9189460548314,SENSOR_DATA,"[43,2]",74,"[30,4]","[34,3]",,TREE
717.9190445990696,SENSOR_DATA,"[43,2]",63,"[33,1]","[34,3]",,TREE
717.9191326825219,SENSOR_DATA,"[43,2]",52,"[11,2]","[34,3]",,MESH
717.9192125966366,SENSOR_DATA,"[43,2]",43,"[11,254]","[34,3]",,TREE
717.9192512922201,SENSOR_DATA,"[43,2]",44,"[6,2]","[34,3]",,TREE
717.9193396026072,SENSOR_DATA,"[43,2]",35,"[6,254]","[34,3]",,TREE
717.9194108789136,SENSOR_DATA,"[43,2]",46,"[6,5]","[34,3]",,TREE
717.9194865118105,SENSOR_DATA,"[43,2]",56,"[18,1]","[34,3]",,TREE
717.919547322367,SENSOR_DATA,"[43,2]",65,"[18,3]","[34,3]",,TREE
717.9196468165643,SENSOR_DATA,"[43,2]",74,"[30,4]","[34,3]",,TREE
717.9197453608025,SENSOR_DATA,"[43,2]",63,"[33,1]","[34,3]",,TREE
717.9198334442548,SENSOR_DATA,"[43,2]",52,"[11,2]","[34,3]",,MESH
717.9199133583695,SENSOR_DATA,"[43,2]",43,"[11,254]","[34,3]",,TREE
717.919952053953,SENSOR_DATA,"[43,2]",44,"[6,2]","[34,3]",,TREE
717.9200403643401,SENSOR_DATA,"[43,2]",35,"[6,254]","[34,3]",,TREE
717.9201116406465,SENSOR_DATA,"[43,2]",46,"[6,5]","[34,3]",,TREE
717.9201872735434,SENSOR_DATA,"[43,2]",56,"[18,1]","[34,3]",,TREE
717.9202480840999,SENSOR_DATA,"[43,2]",65,"[18,3]","[34,3]",,TREE
717.9203475782972,SENSOR_DATA,"[43,2]",74,"[30,4]","[34,3]",,TREE
717.9204461225354,SENSOR_DATA,"[43,2]",63,"[33,1]","[34,3]",,TREE
717.9205342059877,SENSOR_DATA,"[43,2]",52,"[11,2]","[34,3]",,MESH
717.9206141201024,SENSOR_DATA,"[43,2]",43,"[11,254]","[34,3]",,TREE
717.9206528156859,SENSOR_DATA,"[43,2]",44,"[6,2]","[34,3]",,TREE
717.920741126073,SENSOR_DATA,"[43,2]",35,"[6,254]","[34,3]",,TREE
717.9208124023794,SENSOR_DATA,"[43,2]",46,"[6,5]","[34,3]",,TREE
717.9208880352763,SENSOR_DATA,"[43,2]",56,"[18,1]","[34,3]",,TREE
717.9209488458328,SENSOR_DATA,"[43,2]",65,"[18,3]","[34,3]",,TREE
717.9210483400301,SENSOR_DATA,"[43,2]",74,"[30,4]","[34,3]",,TREE
717.9211468842683,SENSOR_DATA,"[43,2]",63,"[33,1]","[34,3]",,TREE
717.9212349677206,SENSOR_DATA,"[43,2]",52,"[11,2]","[34,3]",,MESH
717.9213148818353,SENSOR_DATA,"[43,2]",43,"[11,254]","[34,3]",,TREE
717.9213535774188,SENSOR_DATA,"[43,2]",44,"[6,2]","[34,3]",,TREE
717.9214418878059,SENSOR_DATA,"[43,2]",35,"[6,254]","[34,3]",,TREE
717.9215131641123,SENSOR_DATA,"[43,2]",46,"[6,5]","[34,3]",,TREE
717.9215887970092,SENSOR_DATA,"[43,2]",56,"[18,1]","[34,3]",,TREE
717.9216496075657,SENSOR_DATA,"[43,2]",65,"[18,3]","[34,3]",,TREE
717.921749101763,SENSOR_DATA,"[43,2]",74,"[30,4]","[34,3]",,TREE
717.9218476460012,SENSOR_DATA,"[43,2]",63,"[33,1]","[34,3]",,TREE
717.9219357294535,SENSOR_DATA,"[43,2]",52,"[11,2]","[34,3]",,MESH
717.9220156435682,SENSOR_DATA,"[43,2]",43,"[11,254]","[34,3]",,TREE
717.9220543391517,SENSOR_DATA,"[43,2]",44,"[6,2]","[34,3]",,TREE
717.9221426495388,SENSOR_DATA,"[43,2]",35,"[6,254]","[34,3]",,TREE
718.6721434983779,SENSOR_DATA,"[31,5]",82,"[31,254]","[6,5]",,TREE
718.6721857923093,SENSOR_DATA,"[31,5]",92,"[30,3]","[6,5]",,MESH
718.6733652477344,SENSOR_DATA,"[31,2]",91,"[31,254]","[13,4]",,TREE
718.6734084084443,SENSOR_DATA,"[31,3]",81,"[39,2]","[39,2]",,DIRECT
718.673439061923,SENSOR_DATA,"[31,2]",92,"[30,2]","[13,4]",,MESH
718.6735117080906,NETWORK_REQUEST,"[31,2]",91,"[31,254]","[0,254]",,TREE
718.6735119190907,SENSOR_DATA,"[31,2]",83,"[30,254]","[13,4]",,TREE
718.6735855222792,NETWORK_REQUEST,"[31,2]",92,"[30,2]","[0,254]",,TREE
718.6735916019212,SENSOR_DATA,"[31,2]",74,"[13,4]","[13,4]",,DIRECT
718.6736583794469,NETWORK_REQUEST,"[31,2]",83,"[30,254]","[0,254]",,TREE
718.6737380622774,NETWORK_REQUEST,"[31,2]",74,"[18,254]","[0,254]",,TREE
718.6738375564747,NETWORK_REQUEST,"[31,2]",65,"[6,5]","[0,254]",,MESH
718.6738983670311,NETWORK_REQUEST,"[31,2]",56,"[0,8]","[0,254]",,MESH
718.674026345149,NETWORK_REQUEST,"[31,2]",37,"[0,254]","[0,254]",,DIRECT
718.6741258053828,NETWORK_REPLY,"[0,254]",28,"[0,4]","[31,2]",,TREE
718.6741910611677,NETWORK_REPLY,"[0,254]",38,"[6,1]","[31,2]",,TREE
719.3835262304751,SENSOR_DATA,"[0,2]",29,"[0,3]","[6,4]",,MESH
719.3836600521502,SENSOR_DATA,"[0,2]",27,"[1,2]","[6,4]",,MESH
719.3837314595949,SENSOR_DATA,"[0,2]",36,"[1,254]","[6,4]",,TREE
