packet_id,packet_type,source_gui,dest_gui,created_at,received_at,delay,path
7222,TABLE_SHARE,6,,495.57458975497946,495.57465874136636,6.898638690699954e-05,6 -> 15
7223,SENSOR_DATA,6,,495.57458975497946,495.57465874136636,6.898638690699954e-05,6 -> 15
7219,TABLE_SHARE,6,,495.57458975497946,495.5746598050667,7.005008723126593e-05,6 -> 7
7220,TABLE_SHARE,6,,495.57458975497946,495.5746665626751,7.680769562057321e-05,6 -> 16
7221,TABLE_SHARE,6,,495.57458975497946,495.57467117446464,8.14194851841421e-05,6 -> 17
7224,JOIN_REQUEST,4,,495.62817748447293,495.6282444002157,6.691574276374013e-05,4 -> 3
7225,NETWORK_REQUEST,3,,495.6282444002157,495.62920009638634,0.0009556961706493894,3 -> 12 -> 21 -> 31 -> 42 -> 52 -> 63 -> 74 -> 65 -> 56 -> 37 -> 28
7228,TABLE_SHARE,2,,495.8856444271132,495.8856933651839,4.893807067674061e-05,2 -> 11
7235,SENSOR_DATA,2,,495.8856444271132,495.8856933651839,4.893807067674061e-05,2 -> 11
7232,TABLE_SHARE,2,,495.8856444271132,495.8857167314026,7.230428940374622e-05,2 -> 13
7240,TABLE_SHARE,1,,495.8856816603352,495.88571813918605,3.6478850859111844e-05,1 -> 0
7230,TABLE_SHARE,2,,495.8856444271132,495.8857199355926,7.550847936954597e-05,2 -> 1
7233,TABLE_SHARE,2,,495.8856444271132,495.88572155700507,7.712989184938124e-05,2 -> 3
7237,TABLE_SHARE,1,,495.8856816603352,495.8857430094799,6.134914468702846e-05,1 -> 11
7238,TABLE_SHARE,1,,495.8856816603352,495.8857527637959,7.110346069794105e-05,1 -> 10
7239,TABLE_SHARE,1,,495.8856816603352,495.88575716881456,7.550847936954597e-05,1 -> 2
7241,TABLE_SHARE,1,,495.8856816603352,495.88577896558786,9.730525266604673e-05,1 -> 12
7248,TABLE_SHARE,0,,495.88575639509156,495.8857928739424,3.6478850859111844e-05,0 -> 1
7242,TABLE_SHARE,1,,495.8856816603352,495.8858024160394,0.00012075570418801362,1 -> 21
7243,TABLE_SHARE,1,,495.8856816603352,495.8858064489944,0.00012478865920684257,1 -> 20
7247,TABLE_SHARE,0,,495.88575639509156,495.8858103438144,5.394872283659424e-05,0 -> 10
7244,SENSOR_DATA,1,,495.8856816603352,495.88583467348997,0.00015301315477245225,1 -> 11 -> 20
7246,TABLE_SHARE,0,,495.88575639509156,495.8858426558217,8.626073014283975e-05,0 -> 11
7250,TABLE_SHARE,0,,495.88575639509156,495.8858783940166,0.00012199892501030263,0 -> 20
7249,TABLE_SHARE,0,,495.88575639509156,495.88588715341126,0.0001307583196989981,0 -> 21
7251,SENSOR_DATA,0,,495.88575639509156,495.8859545424907,0.00019814739914636448,0 -> 21 -> 22
7252,SENSOR_DATA,7,,496.23444839804677,496.2347513131627,0.0003029151159239518,7 -> 16 -> 27 -> 28 -> 38
7254,TABLE_SHARE,54,,497.91700891684684,497.9170409331816,3.201633478511212e-05,54 -> 55
7259,TABLE_SHARE,54,,497.91700891684684,497.9170643632891,5.544644227484241e-05,54 -> 64
7260,TABLE_SHARE,54,,497.91700891684684,497.9170833736389,7.445679204920452e-05,54 -> 65
7255,TABLE_SHARE,54,,497.91700891684684,497.91709041427697,8.149743013063926e-05,54 -> 45
7261,TABLE_SHARE,54,,497.91700891684684,497.9171004489204,9.153207355439008e-05,54 -> 53
7256,TABLE_SHARE,54,,497.91700891684684,497.9171028990528,9.398220595357998e-05,54 -> 44
7267,TABLE_SHARE,54,,497.91700891684684,497.9171089043967,9.998754984508196e-05,54 -> 63
7258,TABLE_SHARE,54,,497.91700891684684,497.9171110097683,0.00010209292145191284,54 -> 43
7263,TABLE_SHARE,54,,497.91700891684684,497.917112274234,0.00010335738716094056,54 -> 56
7264,TABLE_SHARE,54,,497.91700891684684,497.9171129537167,0.00010403686985682725,54 -> 66
7265,TABLE_SHARE,54,,497.91700891684684,497.91711611260456,0.00010719575772100143,54 -> 75
7266,TABLE_SHARE,54,,497.91700891684684,497.9171255011677,0.00011658432083549997,54 -> 74
7268,TABLE_SHARE,54,,497.91700891684684,497.91712836455713,0.00011944771028993273,54 -> 73
7257,TABLE_SHARE,54,,497.91700891684684,497.9171342774327,0.00012536058585510546,54 -> 35
7269,TABLE_SHARE,54,,497.91700891684684,497.91714838354244,0.00013946669560027658,54 -> 62
7272,JOIN_REQUEST,71,,497.9174320115905,497.9175087737467,7.67621561976739e-05,71 -> 72
7275,JOIN_REQUEST,71,,497.91777423841194,497.91785100056813,7.67621561976739e-05,71 -> 72
7273,NETWORK_REQUEST,72,,497.9175087737467,497.9180766347148,0.0005678609680899172,72 -> 63 -> 74 -> 65 -> 56 -> 37 -> 28
7276,NETWORK_REQUEST,72,,497.91785100056813,497.9184188615362,0.0005678609680899172,72 -> 63 -> 74 -> 65 -> 56 -> 37 -> 28
7281,JOIN_REQUEST,24,,497.9624680451357,497.9625263532768,5.8308141092311416e-05,24 -> 23
